,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,content,label,pred,string_label,string_pred,target_race_asian,target_race_black,target_race_latinx,target_race_middle_eastern,target_race_native_american,target_race_pacific_islander,target_race_white,target_race_other,target_race,target_religion_atheist,target_religion_buddhist,target_religion_christian,target_religion_hindu,target_religion_jewish,target_religion_mormon,target_religion_muslim,target_religion_other,target_religion,target_origin_immigrant,target_origin_migrant_worker,target_origin_specific_country,target_origin_undocumented,target_origin_other,target_origin,target_gender_men,target_gender_non_binary,target_gender_transgender_men,target_gender_transgender_unspecified,target_gender_transgender_women,target_gender_women,target_gender_other,target_gender,target_sexuality_bisexual,target_sexuality_gay,target_sexuality_lesbian,target_sexuality_straight,target_sexuality_other,target_sexuality,target_age_children,target_age_teenagers,target_age_young_adults,target_age_middle_aged,target_age_seniors,target_age_other,target_age,target_disability_physical,target_disability_cognitive,target_disability_neurological,target_disability_visually_impaired,target_disability_hearing_impaired,target_disability_unspecific,target_disability_other,target_disability,loss
11,11,11,11,11,Mexican parents would beat your ass if you pulled some shit like this lmao URL,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.882352828979492
12,12,12,12,12,"If you are White & kill 20 people in #America.  You are just a  Lonely, mentally disturbed, bad childhood experienced gunman with issues. If you are a Muslim & kill 1 person You are an #ISIS trained #WMD carrying, evil terrorists out to destroy humanity. #walmartShooting",0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.134502410888672
13,13,13,13,13,"I stopped reading after I saw that ur black. Another uRM, benefitting from affirmative action. Sigh. You dont deserve it, but ull get in.",1.0,0.0,hatespeech,supportive,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.374111175537109
14,14,14,14,14,@Charl0tteBr0nte See how the pre-cum is dripping from sissy penis? It's so exciting. Can you tell I enjoy humiliation? I have bought my own panties at Victoria'S Secret. 👄,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.782175064086914
15,15,15,15,15,When white ppl call me brotha I feel like it's just diet nigger,0.0,1.0,supportive,hatespeech,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.217897415161133
16,16,16,16,16,"You're right, it's mostly different flavours of either killing women or distributing them like food stamps in Soviet Russia; when they're not busy sucking off Super Chad in their mind",1.0,0.0,hatespeech,supportive,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.7700276374816895
17,17,17,17,17,we should let them go back in the plane and send them to timbuktu,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.1971676349639893
18,18,18,18,18,"Sorry for Eric, but police need to be protected from the mob and all these ghetto criminals. #bluelivesmatter",1.0,0.0,hatespeech,supportive,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.8111572265625
19,19,19,19,19,How to kick the hornets nest of white 15 year olds ^,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.984942436218262
20,20,20,20,20,Taqiya Belle will work to bring Negroes and Jews together to combat Whitees  because Whitees are culturally unaware and will form weird groups like KKK & NSDAP,1.0,0.0,hatespeech,supportive,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.9034910202026367
21,21,21,21,21,The WeHo gays kill me.,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.851896286010742
22,22,22,22,22,I guess the N word for white peoples is Nazi!,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.329446315765381
23,23,23,23,23,"Do not torture this woman with marriage to you. The relationship was doomed the moment you stuffed your cock down a prostitute's mouth. and you are now considering ways to introduce your girl to swing/open relationship? You need a different, more compatible partner. Dont make her your project to try and convert to your lifestyle.  Too selfish man",0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.6205403804779053
24,24,24,24,24,i'm tryna stroke my girl 2 death put that pussy on a t-shirt,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.071950912475586
25,25,25,25,25,NATive americans should drain american swamp and kick you all out,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.76644229888916
26,26,26,26,26,The genocide of Christians is going on today in the Middle East. They will not stop until all infidels are eliminated.,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.717831611633301
27,27,27,27,27,"@IlhanMN You should know the reason muslims have so many gay men. Think, women are not treated as equal. Most of the women are killed or in prison. All the men hang around with each other. They bath together, eat together, talk together. No hole to put their pecker in. They're gonna b gay",1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5667271614074707
28,28,28,28,28,No they are women. They will get slap on the wrist,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.399034023284912
29,29,29,29,29,"@_BloodyMira @KarenInIllinois @SimplyAYT_ @TalbertSwan Nothing but black this black that , bet you disrespect the police and you have food stamps in your purse huh 😂🧐 URL",1.0,0.0,hatespeech,supportive,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.881658554077148
30,30,30,30,30,Y'all want to make money get some immigrants and build a land scaping business b miles easy money man another one pay them cheap man 7.50 minuim wage fuck them man I'm Hispanic and we do the same man it's money man that talks and if they came here to work well shit I gotta make it to and raise they're pay as I get up they're in the bands 💰 If the system wants to hires these people and pay them for cheap labor well shit people should use them to get money like they do nothing wrong just them having they're own taste of they're own medicine man why can't we profit like these elites do.,0.0,1.0,supportive,hatespeech,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.756882667541504
31,31,31,31,31,girls who went to all girls schools are the funniest bitches you will ever meet. period. URL,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.10282564163208
32,32,32,32,32,Yeah all those alpha males going out and beating/killing women's husbands in order to rightfully take their place in the social order and killing her kids to ensure only his kids thrive... Oh wait you're full of shit!,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.923041820526123
33,33,33,33,33,"Jerry F Iran infiltrated our govt for 8 yrs, well, threw the Shia branch before trump  Sunni Saudi Arabia seems to be ok, they at least put Muslims to death for bombing churches  Trumps first term shows liberal media and liberal politicians hate America and Americans, so of course they would tell the Muslims were the infadels are",1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.94689416885376
34,34,34,34,34,U forgot Isreal. Every citizen in Isreal is in the army talkless the have nukes and aircraft.,0.0,1.0,supportive,hatespeech,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.807606220245361
35,35,35,35,35,Trump is right..ALL immigrants who arrived after 1492 should GO HOME!!,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.294230461120605
36,36,36,36,36,Cause he's white and privileged so fuck him in particular even though he's raped one person and has been deemed unlikely to be a repeat offender. But fuck this guy in particular.,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.7910261154174805
37,37,37,37,37,Would love to pull your hair while I beat up that pussy,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.541490912437439
38,38,38,38,38,@Kevin_Shipp Sodom and Gomorrah outcome unGodly people will reap the whirlwind of their sins which is everlasting death,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.156446933746338
39,39,39,39,39,The straights have discovered the real gay agenda! It's time to run. Hail Satan.,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4642176628112793
40,40,40,40,40,i thought Americans lived in the best cuntry in the world? wtf...,0.0,1.0,supportive,hatespeech,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.564061641693115
41,41,41,41,41,"Jourell — aim your anger and sarcasm towards the black culture that has not adequately addressed its problems. Black males have a disrespect for authority figures AS IS DISPLAYED IN THE VIDEO. Teach black men to respect their parents, teachers, law enforcement, the military. Teach them to be obedient. Otherwise, they go to prison while whites, Asians, and Hispanics prosper.",1.0,0.0,hatespeech,supportive,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.711733818054199
42,42,42,42,42,If ur homophobic get the fuck off my twitter for the next 10 minutes. Its entertainment for bbhls & bitches URL,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.716052532196045
43,43,43,43,43,"U right, probably some old nigga named Clyde",1.0,0.0,hatespeech,supportive,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.412085056304932
44,44,44,44,44,Why can't you people leave the woman alone? Why are you so hell bent on making her out to be this vicious individual?? So u can bully her online?,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.504481792449951
45,45,45,45,45,"Such an amazing tight little body. She needs to be fucked as hard and often as possible, it'd be a waste not to.",1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.5105643272399902
46,46,46,46,46,"Oh please that's how literally every homeland started. No no you're right the Jews shouldn't have a homeland, it's worked out so well in the past. Get outta here.",1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.1255364418029785
47,47,47,47,47,Disgusting Americans these are actually terrorist they fight Muslims Hindus and Christians stupids,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.738762855529785
48,48,48,48,48,Imagine being such a degenerate son of a whore you don't understand mental illness,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.926477432250977
49,49,49,49,49,"That was in no shape or form gentle.. it was aggressive and oppressive. Loool ""dumb bitches"".....please dont encourage men to speak about women like this. URL",0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0824785232543945
50,50,50,50,50,when will they start to round up radicalized white terrorists here at home?,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.8836989402771
51,51,51,51,51,"It's all just kienitte theater!  Kienittes are those who lie and say they are of our brother judea but are not Jews at all , they are the children of Kien , and they own Trump and Pence and every politician in this land .  And that's why this nation must be destroyed. The saints are judging this world and destruction is coming , repent and turn away from this Evil and,Run to Yahusha Hamochiack Jesus Christ Now before you are judged into the lake of fire.",1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.882195949554443
52,52,52,52,52,@LeahLeary Girls who dip could beat my ass and I'd let em,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.012950420379639
53,53,53,53,53,This shit not funny at all bro niggas are disgusting and i really hope women start shootin y'all honestly truthfully URL,1.0,0.0,hatespeech,supportive,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.650757551193237
54,54,54,54,54,I'll go get da polish cyka pussy for the motherland,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.605410099029541
55,55,55,55,55,Mexico should try to be allies with China... watch how quick these white boys will lose their shit,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.759838581085205
56,56,56,56,56,Lmao war with black people doesn't count,1.0,0.0,hatespeech,supportive,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.728336811065674
57,57,57,57,57,Totally would have her in the alley afterwards with my cock up her tight ass. She can only plead no as I cum in her teasing ass.,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.135894536972046
58,58,58,58,58,Christopher  Silly Racist little Chrissy.  Always Babbling Nonsense! Is that how you let your Anti White sentiments out on other channels? Sad little Fraud.,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.749467372894287
59,59,59,59,59,Next time a female approaches me mad cuz her boyfriend was flirting with me ima set both they dumb ass on fire,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.432037591934204
60,60,60,60,60,go back to your own country /s,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.7902331352233887
61,61,61,61,61,"If you see a desperate and starving woman & your first thought is to put your penis into her mouth rather than food, you're a disgrace to the human race. If you're a human rights organisation supporting the exploitation of vulnerable women then you should be disbanded immediately",0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.143620491027832
62,62,62,62,62,She looks like a jewish girl about to be exterminated in a concentration camp,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.10548210144043
63,63,63,63,63,"Idk maybe it's the guy who paid under privileged kids to write ""kill all Jews"" for $5 because ""haha antisemitism funny""",1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.679536819458008
64,64,64,64,64,"These very unattractive women are an embarrassment to people of color. I am a Mexican American and to them I say: If you are not going to respect the values of this great nation....Fuera! Fuera! de este pais.....Viejas feas! Pack your stuff...y al Carajo! Out of this country NOW! , No one wants you, No one will miss you! Take your fish someplace else. Hahahahaha!  Gracias Mr Trump for all you do! We love you! :) Trump 2020! Latinos for Trump!",0.0,1.0,supportive,hatespeech,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.474862813949585
65,65,65,65,65,"Piss off with that whataboutism. Toxic feminity is a dog whistle made up by redpill idiots to deflect and scream ""no u!""",0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3670556545257568
66,66,66,66,66,Fuck this shit let them kids out at the border bitch. URL,0.0,1.0,supportive,hatespeech,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.573236465454102
67,67,67,67,67,Keep non citizens out and send them home,1.0,0.0,hatespeech,supportive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.864614009857178
