text,label
"شو قصتك انت واللواء عثمان ،، لهالدرجة قاهرك ما في تغريدات الا عنه وعن الشيخ ، ",normal
لو في دولة محترمة واحد متلك اطلق النار على قوى الأمن كان مكانك بالسجن أقل شي ,normal
وهاب يتحدّث عن انجاز يسجّل للرئيس عون ,normal
يا جماعه اللي بدو يدعي او يكبر او يصلي او يختم القرآن بإمكانو يعمل كل هالحكي بعيد عن تويتر بنوبكون ثواب اكتر لأنو الرياء با…,normal
ويل لامة تولي عليها مجموعة من الأرذال ,abusive
للاسف يا عزيزي نزار زكا لايملك المال وإلا كان تحرك جبران باسيل كما فعل بخصوص كارلوس غصن,normal
أول شكر كان للوزير جبران باسيل شو رأي الشباب ؟ بتوقيت نصرالله,normal
مستحيل يكون في اوسخ وانجس منك بالكون يا ديوث ,abusive
كذبك يا أيوب كذاب ونص جبران باسيل انظف من ضميرك,abusive
شكرا لكل الأبواق المأجورة وغير المأجورة في افتراءاتها اليومية على جبران باسيل أمنتم له شعبية ما كان ليحلم بها الى…,abusive
صباح الكسمك يا ميونخ يا مدينة خرى بنت وسخة,hate
لبنان علّم العالم الأبجدية وكيف بيمشي البلد بلا دولة,normal
ما عطيوك شي غرفة فيه بلاش ,normal
ليش مننفهم انو نحنا حاقدين عالعالم لأ يا جماعة القصة وما فيا مألهين جبران باسيل وشايفين حالنا فيه وبفتكر بحقلنا لاقوا اذكى…,normal
يا استاذ وديع انتم جماعة مثقفين معهم لا ينفع اي شىء حرام ان يكون لهذا البلد رئيس مثل العماد عون ومثل جبر…,normal
انت حثالة,abusive
حماك الله   ,normal
"اي يعني شو بدي قلك، علمهن ت يعيشوا بالبحبوحة زي…",normal
"جبران باسيل كم جميلٌ مثلاً ان نخرجَ على شعوبنا، بسكّة حديد تربط بلداننا، بخط غازٍ يأخذ غاز لبنان الى العراق ونفط العراق الى ل…",normal
الإرهاب السعودي إلى مزابل التاريخ وكل مين بشد على مشدها السؤال لماذا هذا الإستهتار ويجب على سوريا… ,hate
يعني لو الست ديما كتبتاعتذر عن الخطأ كانت وفرت علي ما لا يقل عن ميغابايت من عجقة التايملاين الناجمة عن احصائياتها الخزعبلية,normal
الاسود للحريمات؛الفوشي يليق بي,normal
لو في دولي ما كان بعدو عماد عثمان خارج السجن ,normal
انه انت بتحكي لتحكي؟؟؟مين جاب سيرة الهبه؟؟؟؟كل الشعب اللبناني الواعي والمثفف عوفان انه واديعه بس انت ش… ,normal
مش شغلتي حبيبي فاضح حالو بلا جميلتنا    بس عجبني تفكيرك   ,normal
"وطن التعايش و الحرية ، وطن الصدق و المحبة هذا كل ما نحن بحاجة إليه لنحصل على هذا الوطن علينا ان نعد… ",normal
وهاب مع الحكومة الجديدة يجب أن يكون ملف إقالة اللواء عثمان على الطاولة لبنان ,normal
ايييه هيك حلم جبران باسيل بدو يعمل هيك,normal
هو فقط قال الحقيقة ما قدمت قطر للبنان ليس منحة ا دعم او هدية ه قرض بنسبة ,normal
جبران باسيل لم يقدم هو يأخذ فقط بتحط نفسك بمواقف بايخة  ,normal
قبل ما تترحم وسام الحسن كان مشارك بقتل الحريري والحريري كان عارف ومن اغتاله للحسن حتى يأخذ ثئاره لوالده… ,normal
ما بأثر نكون خواريف افضل ما نكون خنازير منبزق بالبير لي شربنا منو متل معلمك لي اكل لكب… ,hate
لاتعرف اسئل حزب الله وخروفه باسيل ,abusive
قل كلمتك واصمد وهاب ما بيهاب ,normal
لا تفرد ولا إلغاء نعم لتحرير الطائفة من براثم الاستبداد ,normal
وأكبر دليل للي بصدقك يا ابن شعبان ,normal
مافي غير جبران باسيل الي عم يلعب ب النار تحت مرأى و مسمع رئيس الحكومة,normal
اكيد خلف ومات بس شهيد يا فهمان,abusive
كان بدري عّم يقبض حق تغريدته مبارح ضد قطر   ,abusive
روح عَ دمشق يامان شو بعدك ناطر هههههههههههههههههههههههههههههههههههههههههههههههههههه       ,normal
قويية   ,normal
انا اكتشفت ان اللواء عثمان داعس رقبتك وراسك بصباطو الرسمي يا حمااااااار ,abusive
لو ما في سلاح حزب الله كنّا شفناك بالسجن كنّا شفناك عم تتحاكم لانك قتلت محمد بو دياب كنا شفناك متل… ,normal
شي بيهوي,abusive
هههه موتي بغيظِك لكن 😎,abusive
أمّا علاقتنا مع جبران باسيل فهناك صداقة بيننا وإ…,normal
سينهار اكثر وأكثر لطالما نموذج وئام وهام موجود في مجتمعنا ,hate
اضف الى ذالك انه داعم لايران وحزب اللات ,hate
ارفعوا العشره مشكلتكم ما الو خص علاء الخواجة يا صاحب الصرامي ,abusive
انت بدك طبيب نفسي ,abusive
ليك يا وئام وهاب سماع شو بدي قلك كل يوم عم تحكي على دولة لكانت للغرب أو للشرق وهني مع بعضهون بألف خير ب… ,normal
والله الحذاء خساره فيهم ,abusive
كول خرا عقبالك لما تجيك صرمايي بخلقتك ,abusive
انت متهم اول لانك اكبر سرمايه عربيه ,abusive
جبران باسيل رجل عنيد يطالب بإسترداد حقوق المسيحيين التي أخذت منهم في الطائف لهذا هو مكروه من ترويكا الطائف والفساد,normal
جنسهم جبران باسيل وقبص اللي فيه النصيب لك يلعن هيك سياسيين واطيين,hate
جبران باسيل من حق اسرائيل ان تعيش بسلام بين جيرانها وبالامس من حق اسرائيل ان تضمن امنها,normal
كول هوا ما حدا غير امك مركبه راس حمار,abusive
لك يا رافعة معنوياتي انتي,normal
قديش صرت كاتب سمعت شي مرة البيك تطلع عليك او رد يا مفتن الطايفة يا ابن شعبان؟ الله لا يوفقك كما قالوا… ,hate
كول هوا خسرتو بأرضك وبين جمهورك بعد ما منعت القطريين من تشجيع جمهورهم انتو فاشلين في كل شئ وهم متفوقين عليكم في…,abusive
اصمت أيها الذبابة المريضة العقاب لوهاب وهاب قاتل ابو دياب ,abusive
مهما تآمر المفسدين وتاجرو بأسم سيعرف العالم بأنهم عملاء متصهينين ,hate
كول هوا انت ودانيال,abusive
والنعم من تربيتك ,normal
شو بدك بأسمي أحترمي حالك وأحترمي ديننا الشريف وتوقفي عن الكذب وقلب الحقائق والتغطيه على من ن… ,abusive
يلّي بدّو يجيب سيرة الوزير جبران باسيل بالعاطل بدّو يسمع كلام أوسخ من أعمال حركة أمل,hate
نص البلد من رأيي يا سخيفة,abusive
والله انت من يحتاج الي طبيب نفسي وعساك ما تطيب ,abusive
كل كلاب ال سعود مكانهم قفص القرود ,hate
خصوصا ان سي ان ان طردت,normal
وانت شو تعتبر حالك وانت موالي لهذا الحرباء جن بلاط ههههه ,abusive
لايام جاية راسكن بلارض راح يكون يا عملاء إيران ,hate
"جبران باسيل، بتحبو او بتكرهو، ما فيك تنكر انو قبضاي وببيض الوج كوزير خارجية سيادي وطني لكن تبقى مشكلتي معه ان حزبه يؤب…",normal
ههههههههههه يا هبيلة مين جاب سيرة تميم وقطر غيركانت بتقول إنو أمير الإرهاب طميم ,hate
تشتهي تشوف صرماية مقطّعة من شحاحيط السلطان يرد على كلامك؛الشحاحيط حافظين الكلمتين الخرا تبع عرب الشمال و اللاجئين المشردين و بس تتكلم أي كلمة ما تعجبهم لازم يطقعوها من زلاعيمهم مثل الجواميس تفه على شرفك اذا عندك جنس الشرف,abusive
وما تنسى انو الشيخ نعيم حسن هو الشيخ العقل المعترف به من الدولة ومن الحكومة ومن الزعيم وليد بيك جنبلاط ,normal
معالي لبناني وطني مش سعودي ليسافر ,normal
ومبعوصة من انه الديمقراطية مترجمة من الـ وبدها الملسمين يقولوا شورى طيب يا قلبي الشورى عند داعش والسعودية احنا بدنا ديمقراطية يا كندرة,abusive
فالرئيس السوري يثمن ويقدر مواقف فخامته ووزير الخارجية جبران باسيل التي تنبع من رؤيتهما الاستراتيجية للصراع في الشرق الاو…,normal
بدك تعمل برنامج ينجح؟ حكي عن جبران باسيل مياومو الإعلام,normal
كيف بيقدر هالحكم يعلك ويصوفر؟ 🤔,normal
البلد عم ينهار بوجود العهد القوي وليكو عالهبيلة العوني وين راسوا,hate
هيييششش هيييشششش ,abusive
"منذ الثامنة صباحاً و أنا أتابع خبراً عن تطورات قضية خاشقجي على قناة الجزيرة،و لسة الخبر ما خلص حتى هازهي اللحظة",normal
واضح ان السيد نصرالله الليلة بكلامه يرمم العلاقة مع التيار الوطني الحر,normal
وهذا ردا على شِعرك وشَعرك يا اصلع وزارع الشعر المستعار  ,abusive
الله يلعنك ويلعن الي ما بيلعنك ,abusive
فيلم فاشل يا تعول الأفلام والكاميرات المعطلة,abusive
وئام وهاب الطائفي سبق ووصف المرأة السعودية بشوال الفحم للأسف الإمارات لم نعد… ,hate
قال تعالىمن عمل صالحاً فلنفسه ومَن أساء فعليهاولاتستوي الحسنة والسيئة ادفع بالتي هي أحسن وقل سيروا… ,normal
لابارك الله بك وبامثالك ياهذا ,abusive
قهرني الله يقهره   ,abusive
كول هوا ماخدا ارهابي غيركن,abusive
يا ريت نفوسنا بجمال ونظافة وطنا شو كان عبالنا المشكلة مش بالوطن أستاذ وئام مشكلتنا بالشعب ثم بالدولة… ,normal
كل ما عنا صلاح بهل طيفه من مشايخنا و ليد بيك لا خوف من ابواق لاسد و تصحيح وزير سابق في حقبة النظام ال… ,normal
عم تحكي بقلوبنا دايما ✋ ,normal
شي مفتخر للأمانة,normal
لا ما حدا عم يزايد عليكن بالمقاومة انتو مقدمين الاف الشهداء و اسرائيل بتحسبلكن الف حساب بس جبران باسيل أخطأ بحقكن و حق…,normal
عندما يقال يا شحاذ يظهر لك باسيل جبران,abusive
وزير الخارجية اللبناني جبران باسيل امير قطر كسر الحصار على قطر في بادرة لكسر الحصار على القمة العربية التنموية القمة ال…,normal
الله يلعن لي بشرت فيك وقت خلقت,abusive
قدح وجم اذا ربحت رح اعطي نص المبلغ ل جبران باسيل,normal
احساسي انو كان بدك تقول ضابط سوري مش سوي بس يمكن لأنو بعدك بلا غدا و جوعان فأكلت ل اعترف اعترف   ,normal
دعهم يتلهون بفتات الاخرينلنا زعيم قائد وشيخ عقل ولا نعترف بمن لا يجرأ ع… ,normal
مع انك قذر وواطي بس اوافقك الرأي ,abusive
الخلع والكسر يستخدمه ابو منشار الأخرق في كل مكان يا جربوع,abusive
الله يلعن كل من دمر لبنان وداس ع رقاب اللبنانيين إبتداءً بإسرائيل أبو عمار ناصر حافظ معمر صدام الخميني… ,hate
الروس المفروض ينشهروا بالوقاحة مو بالڤودكا,hate
الله يلعن الإخوان المسلمين و بلي بذرهم للمرة الالف على التوالي أُناشد رئيس كوريا الشمالية المحترم كيم… ,hate
جوز كذابين منافقين…,abusive
"مين هالشيخ ،، ومين وهاب ومين طلال ،، مع بعضن مش مخلصين لا بالدنيي ولا بالآخرة ،،… ",normal
لا تندهي يا رابعة ما في حدا ,normal
"بالتأكيد جبران باسيل سيجعل المسيحين ينسون شيء،واعتقد سيكون الحليب الذي رضعوه",normal
"السنّة مفهوم، بس الشيعة ليش؟",normal
ابنك ذكي يا ثريا بس حمار العقاب لوهاب وهاب قاتل ابو دياب ,abusive
ضرط الزمان على الاندال فعلاهم ,abusive
هاهاهاها هاهاهاها عنجد حبيبي شو عم تحكي والله يا بيبي انا ما بعرف شو يعني صهيوني بس شفتو… ,normal
شفيك يادكتور ولا غير متابع هذا ذنب ايران المجوسيه المعديه المتخلفه مالقيت تمدح ألا هذا الشخص للتذكير وئ… ,hate
"مش مهم متى حصلت، ولكن هذا الفعل نحتاجه في لبنان بشدة من أجل كل ألسياسين بدون إستثناء من كبيرهم إلى صغير… ",normal
لا انت ولا معلمك فيك تدق بصرمايته يا صرماية عتيقة ,abusive
يخرب بيتك ذو ذكي من أي حظيرة حيوانات فلت هذا البغل؟؟؟,abusive
آخر فضيحة,normal
لازم يلغي هالنظام المعفن الكائفي الذي لا يستولد سوى طائفيين فاسدين عفنين ,abusive
